author_,title_,boue,fleming,grant,jameson,lyell,weaver
anona,observations-on-the-nature-and-importance-of-geolo[...],0.072,0.405,0.724,0.882,0.0,0.013
anonb,of-the-changes-which-life-has-experienced-on-the-g[...],0.926,0.493,0.752,0.649,0.015,0.012
boue,geographical-and-geological-observations-on-some-p[...],1.0,0.026,0.0,0.003,0.039,0.06
boue,geographical-and-geological-observations-on-some-p[...],1.0,0.045,0.0,0.0,0.023,0.033
boue,geological-observations,0.938,0.73,0.018,0.616,0.25,0.057
boue,observations-on-serpentine-and-diallage-rocks,0.997,0.489,0.0,0.224,0.73,0.035
boue,on-the-palceohydrography-and-orography-of-the-eart[...],0.849,0.506,0.0,0.007,0.076,0.011
boue,on-the-palceohydrography-and-orography-of-the-eart[...],0.956,0.135,0.0,0.184,0.221,0.007
boue,on-the-theory-of-the-elevation-of-mountain-chains-[...],0.787,0.037,0.0,0.478,0.016,0.71
boue,on-the-theory-of-the-elevation-of-mountain-chains-[...],0.789,0.082,0.0,0.041,0.015,0.518
boue,on-the-geognosy-of-germany-with-observations-on-th[...],1.0,0.24,0.0,0.756,0.159,0.016
boue,outlines-of-a-geological-comparative-view-of-the-s[...],1.0,0.36,0.0,0.716,0.016,0.014
boue,outlines-of-a-geological-comparative-view-of-the-s[...],1.0,0.056,0.0,0.745,0.228,0.003
boue,some-observations-on-the-geography-and-geology-of-[...],1.0,0.013,0.0,0.002,0.112,0.001
boue,some-observations-on-the-geography-and-geology-of-[...],1.0,0.024,0.0,0.019,0.088,0.298
boue,some-observations-on-the-geography-and-geology-of-[...],1.0,0.003,0.0,0.041,0.086,0.221
boue,some-remarks-on-the-mode-of-travelling-in-turkey,0.29,0.637,0.003,0.136,0.074,0.0
fleming,a-history-of-british-animals,0.001,1.0,0.375,0.597,0.0,0.018
fleming,additional-on-the-climate-of-the-arctic-regions-in[...],0.017,0.994,0.007,0.198,0.001,0.053
fleming,flora-scotica,0.0,1.0,0.133,0.509,0.012,0.06
fleming,mineralogical-account-of-papa-stour-one-of-the-zet[...],0.0,1.0,0.0,0.077,0.138,0.172
fleming,observation-on-the-mineralogy,0.0,1.0,0.0,0.471,0.09,0.001
fleming,observations-on-the-mineralogy-of-the-neighbourhoo[...],0.0,1.0,0.0,0.101,0.064,0.171
fleming,observations-on-the-natural-history-of-the-sertula[...],0.0,0.667,0.766,0.084,0.032,0.001
